ID,name,2020_malaria,2021_malaria,2022_malaria,2023_malaria,2024_malaria
HF0002,Buikwe St. Charles Lwanga HOSPITAL,439,378,928,928,270
HF0007,Kawolo HOSPITAL,986,401,475,475,291
HF0008,Lugazi Scoul HOSPITAL,1617,1733,2208,2208,364
HF0019,Nkokonjeru  HOSPITAL,187,62,151,151,72
HF0022,St. Francis Nyenga HOSPITAL,337,371,1412,1412,240
HF0039,Butenga HC IV,0,0,0,0,0
HF0052,Gombe HOSPITAL,355,359,592,592,194
HF0083,Maddu HC IV,0,0,0,0,0
HF0092,Bukulula HC IV,0,0,0,0,0
HF0093,Villa Maria HOSPITAL,287,291,697,697,318
HF0103,St. Joseph of the Good Shephard Kyamulibwa Ngo HC IV,0,0,0,0,0
HF0118,Kololo HOSPITAL,986,401,475,475,291
HF0202,International Hospital Kampala (IHK),23,0,0,0,0
HF0203,Kibuli HOSPITAL,272,246,339,339,186
HF0204,St. Francis Nsambya HOSPITAL,1587,5128,1783,1783,1269
HF0216,Kiruddu,659,600,699,699,868
HF0252,Kadic HOSPITAL,562,853,1127,1127,102
HF0253,Murchison Bay  HOSPITAL,4,4,8,8,50
HF0262,Benedict Medical centre  HC IV,17,16,51,51,16
HF0263,Butabika NATIONAL REFERAL HOSPITAL,146,18,63,63,9
HF0264,Naguru  Hospital  - China Uganda Friendship,0,0,0,0,0
HF0281,Lubaga HOSPITAL,80,172,277,277,224
HF0282,Mengo HOSPITAL,347,250,467,467,330
HF0283,Namungoona Orthodox Hospital HC III,0,0,0,0,0
HF0290,Bbaale HC IV,0,0,0,0,0
HF0298,Kangulumira HC IV,1163,550,577,577,1242
HF0304,Kayunga Hospital,2352,2170,2794,2794,1289
HF0316,Bukomero HC IV,0,0,0,0,0
HF0327,Kiboga HOSPITAL,562,853,1127,1127,102
HF0354,Ntwetwe HC IV,0,0,0,0,0
HF0362,Bombo General Military HOSPITAL,620,1407,1880,1880,521
HF0376,Kalagala HC IV,0,0,0,0,0
HF0401,Luwero HC IV,0,0,0,0,0
HF0402,Bishop Asili Ceaser HC IV,0,0,0,0,0
HF0411,Nyimbwa HC IV,0,0,0,0,0
HF0429,Kiwangala HC IV,0,0,0,0,0
HF0438,Kyazanga HC IV,0,0,0,0,0
HF0446,Lwengo HC IV,0,0,0,0,0
HF0465,Lyantonde HOSPITAL,1349,812,2483,2483,771
HF0494,Masaka REGIONAL REF HOSPITAL,214,971,3089,3089,2028
HF0499,Kyannamukaaka HC IV,425,311,811,811,291
HF0505,Kiyumba HC IV,0,0,0,0,0
HF0506,St. Joseph Kitovu HOSPITAL,1373,760,894,894,751
HF0537,Mwera HC IV,0,0,0,0,0
HF0540,Kyantungo HC IV,0,0,0,0,0
HF0550,Mityana HOSPITAL,693,667,225,225,887
HF0560,Ssekanyonyi HC IV,304,153,900,900,187
HF0583,Mpigi   HC IV,0,0,0,0,0
HF0588,Nkozi HOSPITAL,359,128,221,221,142
HF0608,Kassanda HC IV,0,0,0,0,0
HF0615,Kiganda HC IV,0,0,0,0,0
HF0650,Mubende RR HOSPITAL,58,57,53,53,64
HF0678,Mukono  T.C. HC IV,0,0,0,0,0
HF0680,St. Francis HOSPITAL Naggalama,490,361,392,392,405
HF0698,Kojja HC IV,0,0,0,0,0
HF0715,Kiwoko HOSPITAL,986,401,475,475,291
HF0718,Nakaseke HOSPITAL,111,771,3122,3122,1925
HF0720,Ngoma HC IV,0,0,0,0,0
HF0724,Semuto HC IV,0,0,0,0,0
HF0732,St. Franciscan HC IV,0,0,0,0,0
HF0741,Nakasongola Military HOSPITAL,297,205,358,358,321
HF0752,Nakasongola HC IV,2040,738,727,727,1234
HF0773,Kakuuto HC IV,0,0,0,0,0
HF0777,Kalisizo HOSPITAL,76,39,101,101,127
HF0854,Bamu  HOSPITAL,388,242,414,414,129
HF0859,Ntuusi HC IV,0,0,0,0,0
HF0860,Ssembabule HC IV,0,0,0,0,0
HF0873,Buwambo HC IV,0,0,0,0,0
HF0883,Luwunga Barracks HC IV,263,396,613,613,394
HF0887,Kisubi HOSPITAL,76,39,101,101,127
HF0889,Uganda Martyrs HOSPITAL,0,0,0,0,0
HF0919,Namayumba HC IV,0,0,0,0,0
HF0921,Saidina Abubakar Islamic HOSPITAL,74,24,136,136,141
HF0926,Kasangati HC IV,0,0,0,0,0
HF0940,Mildmay Uganda HOSPITAL,5,0,0,0,6
HF0948,Ndejje HC IV,0,0,0,0,0
HF0957,Wakiso HC IV,0,0,0,0,0
HF0966,Amuria HC IV,0,0,0,0,0
HF0975,Kapelebyong HC IV,1313,684,1802,1802,2220
HF0998,Budaka HC IV,0,0,0,0,0
HF1015,Bududa HOSPITAL,579,296,257,257,276
HF1032,Bugiri HOSPITAL,1538,2079,3416,3416,1168
HF1063,Nankoma HC IV,0,0,0,0,0
HF1065,Bukedea HC IV,0,0,0,0,0
HF1092,Muyembe HC IV,0,0,0,0,0
HF1113,Dabani HOSPITAL,949,697,969,969,354
HF1125,Busolwe HOSPITAL,645,3917,7925,7925,1897
HF1130,Kabasa Memorial HOSPITAL,255,383,534,534,146
HF1147,Kidera HC IV,0,0,0,0,0
HF1165,Busesa HC IV,0,0,0,0,0
HF1166,Iganga HOSPITAL,2352,2170,2794,2794,1289
HF1180,Bugono HC IV,0,0,0,0,0
HF1207,Budondo HC IV,0,0,0,0,0
HF1209,Bugembe HC IV,0,0,0,0,0
HF1234,Buwenge NGO Hospital,488,338,244,244,825
HF1246,Walukuba HC IV,0,0,0,0,0
HF1249,Mpumudde HC IV,0,0,0,0,0
HF1250,Kakira Worker's HOSPITAL,533,358,762,762,809
HF1269,Kaberamaido HC IV,0,0,0,0,0
