id,catchment_id,malaria_cases,malaria_deaths,scd_cases,scd_deaths,catchment_population,centroid_x,centroid_y,z_malaria_cases,z_scd_cases,z_malaria_deaths,z_scd_deaths,malaria_cases_rate_per_1000,scd_cases_rate_per_1000,malaria_deaths_rate_per_1000,scd_deaths_rate_per_1000
HF0002,HF0002,2943,12,720,5,117227,507026.46180671145,35579.41571858697,0.15629278002986266,0.8132496174048867,-0.19229180362278664,0.22152243440585856,25.105137894853577,6.141929760208826,0.10236549600348042,0.042652290001450176
HF0007,HF0007,2628,18,711,12,41558,497346.4014508736,41321.06591538727,0.08393691048208536,0.7981583873911878,-0.10750171698596733,1.0812926748721612,63.2369218922951,17.108619279079843,0.4331296020020213,0.2887530680013475
HF0008,HF0008,8130,0,26,1,77886,488839.64907690336,42455.29913276713,1.347752765249929,-0.35045189698478624,-0.36187197689642525,-0.2697748458606001,104.38332948154996,0.3338212258942557,0,0.012839277919009835
HF0019,HF0019,623,10,15,0,120831,495263.16207008477,23047.206197151947,-0.37661394171884643,-0.36889673366819603,-0.22055516583505974,-0.3925991659272148,5.155961632362557,0.12414032822702782,0.08276021881801855,0
HF0022,HF0022,3772,19,199,4,126012,517199.1929290011,41920.43076293728,0.3467150525857592,-0.06036492005479571,-0.09337003587983078,0.0986981143392439,29.93365711202108,1.5792146779671776,0.1507792908611878,0.03174300860235533
HF0039,HF0039,0,0,0,0,126212,347944.7654531864,-16292.021204798957,-0.5197177726022283,-0.3940487836910276,-0.36187197689642525,-0.3925991659272148,0,0,0,0
HF0052,HF0052,2092,19,100,4,143579,395126.08402059955,17900.136541874916,-0.03918291833571986,-0.22636845020548393,-0.09337003587983078,0.0986981143392439,14.570375890624673,0.696480683108254,0.13233132979056828,0.02785922732433016
HF0083,HF0083,0,0,0,0,44006,353422.2380136891,24186.576674171327,-0.5197177726022283,-0.3940487836910276,-0.36187197689642525,-0.3925991659272148,0,0,0,0
HF0092,HF0092,0,0,0,0,62110,372999.1102896634,-19492.196894331333,-0.5197177726022283,-0.3940487836910276,-0.36187197689642525,-0.3925991659272148,0,0,0,0
HF0093,HF0093,2290,30,369,7,54373,361016.16408500716,-22448.06850526171,0.0062979139514544565,0.22469164687062848,0.062078456287671266,0.4671710745390879,42.11649164107185,6.78645651334302,0.5517444319791073,0.1287403674617917
HF0103,HF0103,0,0,0,0,82203,363690.39497386455,-5029.089225478239,-0.5197177726022283,-0.3940487836910276,-0.36187197689642525,-0.3925991659272148,0,0,0,0
HF0118,HF0118,2628,18,711,12,243967,453678.40733328206,41321.065673107325,0.08393691048208536,0.7981583873911878,-0.10750171698596733,1.0812926748721612,10.771948665188324,2.9143285772256085,0.07378047030950907,0.04918698020633938
HF0202,HF0202,23,0,9,0,183488,457837.26391013234,34389.63804502373,-0.5144346456193747,-0.37895755367732864,-0.36187197689642525,-0.3925991659272148,0.12534879665155213,0.04904952912452041,0,0
HF0203,HF0203,1382,55,17,1,71046,453678.40733328194,35775.92357064044,-0.20227075128467825,-0.3655431269984852,0.415370483941085,-0.2697748458606001,19.45218590772176,0.23928159220786532,0.7741463277313291,0.014075387776933254
HF0204,HF0204,11550,6,601,12,181515,453678.40733328206,31617.06699379027,2.1333307774829398,0.6137100205570898,-0.27708189025960595,1.0812926748721612,63.63110486736634,3.3110211277304904,0.03305511941161887,0.06611023882323774
HF0216,HF0216,3525,0,2191,0,238924,457979.72367229726,26661.035655236807,0.28997886281337504,3.279827322977234,-0.36187197689642525,-0.3925991659272148,14.753645510706335,9.17028008906598,0,0
HF0252,HF0252,3771,10,273,10,239469,457375.1688428583,39472.68508021677,0.3464853514125916,0.06371852672450659,-0.22055516583505974,0.8356440347389319,15.747340991944677,1.1400222993372837,0.04175905858378329,0.04175905858378329
HF0253,HF0253,74,1,0,0,40079,458816.30295521306,30292.632355653404,-0.5027198857878298,-0.3940487836910276,-0.3477402957902887,-0.3925991659272148,1.8463534519324336,0,0.02495072232341126,0
HF0262,HF0262,151,1,2,0,99318,462014.3464189314,33039.855119586275,-0.48503289545392864,-0.39069517702131673,-0.3477402957902887,-0.3925991659272148,1.5203689160071687,0.02013733663585654,0.01006866831792827,0
HF0263,HF0263,299,50,373,13,66129,463382.406012599,35775.92357064044,-0.45103712182513167,0.23139886021005024,0.34471207841040225,1.204116994938776,4.521465620227131,5.640490556336856,0.7560979298038681,0.1965854617490057
HF0264,HF0264,0,0,0,0,68614,456450.97838451556,35775.92357064044,-0.5197177726022283,-0.3940487836910276,-0.36187197689642525,-0.3925991659272148,0,0,0,0
HF0281,HF0281,1030,6,383,4,594380,443974.4086540392,31617.066993791414,-0.2831255642396548,0.2481668935586046,-0.27708189025960595,0.0986981143392439,1.7328981459672264,0.6443689222382988,0.010094552306605203,0.006729701537736801
HF0282,HF0282,1861,31,724,3,291689,445360.69417958165,35775.923570640436,-0.09224388933742322,0.8199568307443085,0.07621013739380782,-0.024126205727370762,6.380082896509639,2.4820956566754315,0.10627757645985965,0.010284926754179965
HF0283,HF0283,0,0,0,0,503661,446901.01140617416,40088.81206415607,-0.5197177726022283,-0.3940487836910276,-0.36187197689642525,-0.3925991659272148,0,0,0,0
HF0290,HF0290,0,0,0,0,29346,487488.37129099964,116873.6269268995,-0.5197177726022283,-0.3940487836910276,-0.36187197689642525,-0.3925991659272148,0,0,0,0
HF0298,HF0298,4109,9,71,0,109538,501351.22635712737,63270.586392158846,0.4241243479432225,-0.2749957469162916,-0.2346868469411963,-0.3925991659272148,37.51209625883256,0.6481768883857657,0.08216326754185763,0
HF0304,HF0304,11399,216,1041,17,213826,490117.91261042893,87050.48448848097,2.0986459003346405,1.3515034878934817,2.6905711420290697,1.6954142752052346,53.30970041061424,4.868444436130312,1.0101671452489407,0.07950389569088885
HF0316,HF0316,0,0,0,0,86711,391902.05857244536,80353.66776078539,-0.5197177726022283,-0.3940487836910276,-0.36187197689642525,-0.3925991659272148,0,0,0,0
