catchment_id,area_index,cases_local_ib,cases_p_value,cases_quadrant,cases_cluster_005,cases_cluster_010,cases_hotspot_005,cases_hotspot_010,deaths_local_ib,deaths_p_value,deaths_quadrant,deaths_cluster_005,deaths_cluster_010,deaths_hotspot_005,deaths_hotspot_010
HF0002,1,0.019218632016312735,0.831,High-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.050469651799596914,0.616,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF0007,2,0.0026272529063913605,0.921,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0.015797433834844114,0.771,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0008,3,-0.12090552372624686,0.845,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.008730597761573524,0.967,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0019,4,-0.08162234611046724,0.65,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.035313148116134944,0.752,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF0022,5,-0.059978310004035765,0.68,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.027100238899402655,0.385,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0039,6,-0.6835186516826767,0.041,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-0.48018287688654276,0.034,Low-High,Low-High,Low-High,Not hotspot,Not hotspot
HF0052,7,0.008015649872433802,0.841,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.003481390891359028,0.981,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF0083,8,0.2047941561565181,0.721,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.821,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0092,9,0.2047941561565181,0.496,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.62,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0093,10,-9.539528015176373e-4,0.819,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.021830368765816035,0.514,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0103,11,0.05199738149222233,0.834,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.020900521914069898,0.943,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF0118,12,-0.012405727371761254,0.701,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.015797433834844114,0.661,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0202,13,-0.12881578891473483,0.435,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.03571608175189161,0.761,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF0203,14,-0.034807143739318196,0.62,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,0.09839108044119431,0.45,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF0204,15,-0.2458031048482768,0.769,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.06988795355356198,0.43,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0216,16,-0.11018142298441212,0.264,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.14207063630196892,0.256,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0252,17,-0.04423807050337043,0.739,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.014028510895450862,0.848,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF0253,18,-0.4206382281126014,0.087,Low-High,Not significant,Low-High,Not hotspot,Not hotspot,0.1365225500865503,0.476,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0262,19,-0.15764557586657482,0.376,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,0.04398212507443799,0.754,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0263,20,0.1236551399282665,0.563,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.02948610784519254,0.862,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0264,21,-0.02948454872324339,0.885,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.117201660859911,0.295,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF0281,22,0.0029275996568492524,0.979,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.01802906627903483,0.867,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0282,23,-0.008017313642029905,0.843,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,0.01532217877728497,0.565,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF0283,24,-0.00813366861330854,0.967,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,0.023546157599395216,0.876,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0290,25,-0.2562105613192184,0.13,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.23572613956248467,0.115,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF0298,26,0.296701426091456,0.07,High-High,Not significant,High-High,Not hotspot,Hotspot,-0.05775345213827495,0.497,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF0304,27,0.791074896692536,0.29,High-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.46147435822941074,0.675,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0316,28,0.2047941561565181,0.271,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.348,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0327,29,-0.13653213129089,0.471,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.10323403279403875,0.588,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0354,30,0.1764715600923188,0.633,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.05317727727503864,0.865,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0362,31,-0.36616479935084073,0.336,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.029920036376007385,0.453,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0376,32,-0.26775746586846894,0.141,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,0.030953937518306083,0.867,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0401,33,0.1294124774010338,0.741,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.008730597761573524,0.995,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0402,34,0.2047941561565181,0.486,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.599,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0411,35,0.012200502919962775,0.973,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.05793942150862416,0.734,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF0429,36,0.13652943743767873,0.678,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.02354615759939522,0.896,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0438,37,0.17189637149733275,0.458,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.10873562666687005,0.456,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0446,38,0.1798121739870705,0.508,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.09762395678850376,0.612,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF0465,39,-0.505740096601344,0.504,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.17417027797689072,0.57,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
