catchment_id,area_index,neighbour_count,component_id,is_island
HF0720,58,0,3,TRUE
HF0732,60,0,4,TRUE
HF1147,89,0,7,TRUE
HF1269,99,0,8,TRUE
HF1769,144,0,11,TRUE
HF1831,147,0,13,TRUE
HF1882,150,0,16,TRUE
HF2057,163,0,19,TRUE
HF2099,165,0,20,TRUE
HF2108,166,0,21,TRUE
HF2140,168,0,23,TRUE
HF2167,171,0,24,TRUE
HF2228,178,0,26,TRUE
HF2280,181,0,27,TRUE
HF2292,182,0,28,TRUE
HF2305,183,0,29,TRUE
HF2330,185,0,31,TRUE
HF2353,186,0,32,TRUE
HF2375,187,0,33,TRUE
HF2376,188,0,34,TRUE
HF2400,189,0,35,TRUE
HF2481,196,0,37,TRUE
HF2565,206,0,39,TRUE
HF2566,207,0,40,TRUE
HF2652,214,0,42,TRUE
HF2677,216,0,43,TRUE
HF2983,243,0,44,TRUE
