catchment_id,area_index,neighbour_count,component_id,is_island
HF0002,1,3,1,FALSE
HF0007,2,3,1,FALSE
HF0008,3,4,1,FALSE
HF0019,4,4,1,FALSE
HF0022,5,6,1,FALSE
HF0039,6,3,2,FALSE
HF0052,7,2,1,FALSE
HF0083,8,1,1,FALSE
HF0092,9,2,2,FALSE
HF0093,10,3,2,FALSE
HF0103,11,3,2,FALSE
HF0118,12,7,1,FALSE
HF0202,13,9,1,FALSE
HF0203,14,8,1,FALSE
HF0204,15,7,1,FALSE
HF0216,16,5,1,FALSE
HF0252,17,7,1,FALSE
HF0253,18,3,1,FALSE
HF0262,19,6,1,FALSE
HF0263,20,4,1,FALSE
HF0264,21,6,1,FALSE
HF0281,22,6,1,FALSE
HF0282,23,6,1,FALSE
HF0283,24,6,1,FALSE
HF0290,25,2,1,FALSE
HF0298,26,5,1,FALSE
HF0304,27,5,1,FALSE
HF0316,28,4,1,FALSE
HF0327,29,2,1,FALSE
HF0354,30,2,1,FALSE
HF0362,31,3,1,FALSE
HF0376,32,4,1,FALSE
HF0401,33,2,1,FALSE
HF0402,34,2,1,FALSE
HF0411,35,4,1,FALSE
HF0429,36,3,2,FALSE
HF0438,37,4,2,FALSE
HF0446,38,3,2,FALSE
HF0465,39,2,2,FALSE
HF0494,40,4,2,FALSE
HF0499,41,3,2,FALSE
HF0505,42,3,2,FALSE
HF0506,43,3,2,FALSE
HF0537,44,4,1,FALSE
HF0540,45,3,1,FALSE
HF0550,46,5,1,FALSE
HF0560,47,6,1,FALSE
HF0583,48,6,1,FALSE
HF0588,49,1,2,FALSE
HF0608,50,5,1,FALSE
HF0615,51,3,1,FALSE
HF0650,52,3,1,FALSE
HF0678,53,6,1,FALSE
HF0680,54,6,1,FALSE
HF0698,55,4,1,FALSE
HF0715,56,2,1,FALSE
HF0718,57,3,1,FALSE
HF0720,58,0,3,TRUE
HF0724,59,6,1,FALSE
HF0732,60,0,4,TRUE
HF0741,61,1,5,FALSE
HF0752,62,1,5,FALSE
HF0773,63,1,2,FALSE
HF0777,64,3,2,FALSE
HF0854,65,5,2,FALSE
HF0859,66,1,2,FALSE
HF0860,67,2,2,FALSE
HF0873,68,3,1,FALSE
HF0883,69,4,1,FALSE
HF0887,70,2,1,FALSE
HF0889,71,6,1,FALSE
HF0919,72,6,1,FALSE
HF0921,73,5,1,FALSE
HF0926,74,9,1,FALSE
HF0940,75,6,1,FALSE
HF0948,76,3,1,FALSE
HF0957,77,2,1,FALSE
HF0966,78,3,6,FALSE
HF0975,79,1,6,FALSE
HF0998,80,3,1,FALSE
HF1015,81,2,1,FALSE
HF1032,82,5,1,FALSE
HF1063,83,3,1,FALSE
HF1065,84,3,1,FALSE
HF1092,85,3,1,FALSE
HF1113,86,3,1,FALSE
HF1125,87,4,1,FALSE
HF1130,88,3,1,FALSE
HF1147,89,0,7,TRUE
HF1165,90,3,1,FALSE
HF1166,91,4,1,FALSE
HF1180,92,2,1,FALSE
HF1207,93,4,1,FALSE
HF1209,94,3,1,FALSE
HF1234,95,4,1,FALSE
HF1246,96,3,1,FALSE
HF1249,97,3,1,FALSE
HF1250,98,3,1,FALSE
HF1269,99,0,8,TRUE
HF1276,100,2,9,FALSE
HF1281,101,2,1,FALSE
HF1312,102,4,1,FALSE
HF1313,103,5,1,FALSE
HF1322,104,3,1,FALSE
HF1340,105,3,1,FALSE
HF1354,106,2,1,FALSE
HF1375,107,1,1,FALSE
HF1390,108,2,1,FALSE
HF1405,109,2,1,FALSE
HF1408,110,4,1,FALSE
HF1419,111,4,1,FALSE
HF1421,112,5,1,FALSE
HF1431,113,2,1,FALSE
HF1438,114,1,1,FALSE
HF1475,115,1,1,FALSE
HF1483,116,2,1,FALSE
HF1492,117,4,1,FALSE
HF1515,118,4,1,FALSE
HF1524,119,4,1,FALSE
HF1530,120,4,1,FALSE
HF1532,121,2,1,FALSE
HF1533,122,5,1,FALSE
HF1547,123,4,1,FALSE
HF1583,124,4,1,FALSE
HF1591,125,4,1,FALSE
HF1595,126,1,1,FALSE
HF1600,127,4,1,FALSE
HF1609,128,3,1,FALSE
HF1617,129,2,1,FALSE
HF1629,130,1,10,FALSE
HF1643,131,1,10,FALSE
HF1647,132,4,1,FALSE
HF1667,133,4,1,FALSE
HF1688,134,1,9,FALSE
HF1697,135,2,6,FALSE
HF1698,136,2,6,FALSE
HF1722,137,5,1,FALSE
HF1726,138,4,1,FALSE
HF1734,139,5,1,FALSE
HF1747,140,5,1,FALSE
HF1751,141,3,1,FALSE
HF1752,142,5,1,FALSE
HF1754,143,2,1,FALSE
HF1769,144,0,11,TRUE
