catchment_id,area_index,catchment_population,malaria_cases,scd_cases,expected_malaria_cases,expected_scd_cases,shared_mean,shared_sd,malaria_spatial_mean,malaria_spatial_sd,scd_spatial_mean,scd_spatial_sd,exceed_prob_rr_gt1,hotspot_080,hotspot_090,robust_hotspot_005,robust_hotspot_010,hotspot_class_005,hotspot_class_010,rr_malaria,rr_scd
HF0002,1,20563,2943,720,1858.2974547847923,193.00952376605005,6.240170521435839,1.5230291619330707,0.0037165469696157066,0.17131312834815318,-2.3620894249395366e-4,0.1641839577028788,0.999979092035941,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,8.524030542578268e-4,0.019337411487402936
HF0007,2,9446,2628,711,853.6438145162257,88.66254736634289,6.90714422599927,1.5290134417114059,0.005489550867521835,0.18226860795808417,-0.0016510457115071911,0.17566576155751626,0.9999968696172667,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.003607177076659571,0.0904875532042224
HF0008,3,20547,8130,26,1856.8515198883008,192.85934371546128,4.31078801057761,1.5071014643034955,0.00848103999207952,0.16864108510131395,-0.0060469663361808305,0.16679680534373176,0.9978839116622791,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.0023579793610492825,7.204870235998399e-4
HF0019,4,17421,623,15,1574.3519894862552,163.51791633168108,3.5075588294742603,1.4976735687804101,0.006774640753373703,0.17222313050936464,-0.004686114084034353,0.17111871007022286,0.990409768323873,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,2.514932147441645e-4,5.872763706882676e-4
HF0022,5,26312,3772,199,2377.839937280429,246.97109319322612,4.440115550349678,1.4598367909919503,0.0013603656244896062,0.1449054923539321,0.0010763283726597714,0.14097501670575605,0.9988230459590901,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,6.671710528878897e-4,0.0032681228669214422
HF0039,6,30712,0,0,2775.4720338156176,288.27060710513683,-3.210342736514154,2.4037115064048087,-0.011150614226545213,0.15993772989321528,0.010097782239980247,0.15793266541567066,0.09084372243707528,0,0,0,0,Not hotspot,Not hotspot,1.942959498799381e-7,1.8170202809735627e-5
HF0052,7,36720,2092,100,3318.420587448212,344.6632161012186,4.1550841374647405,1.5396828524663229,0.017496136636915297,0.19902239885853087,-0.015479334659348469,0.19361605784684108,0.9965190613844463,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.9001053234066204e-4,8.463918960213239e-4
HF0083,8,8716,0,0,787.6730348637966,81.81058255823042,-5.3485536334421555,5.568175743268945,0.03369170916536604,0.3027090949447349,-0.036429253280927436,0.2937974860784838,0.1683873233906379,0,0,0,0,Not hotspot,Not hotspot,0.061328951532648175,0.7442356049554641
HF0092,9,16039,0,0,1449.4593628017938,150.5461144620764,-4.657185254791476,3.673249420017572,-0.016255652848612336,0.23823789756357094,0.014687224295664419,0.23527133787250024,0.10242303973509614,0,0,0,0,Not hotspot,Not hotspot,1.430492971897798e-5,7.07184904024711e-4
HF0093,10,10903,2290,369,985.3142610279916,102.33831822308241,6.176240398405231,1.541439083169429,-0.013621434368247365,0.18774323067515572,0.0173196644817,0.18527469804075214,0.9999692267243,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.0023592842694496823,0.035268196734548285
