priority_rank,catchment_id,catchment_population,malaria_cases,scd_cases,shared_mean_step5,shared_sd_step5,exceed_prob_step5,stability_score,stability_class,prioritisation_score,final_typology_005,final_typology_010
1,HF2029,28907,14835,4585,7.165915778515545,1.5910885688757104,0.9999966622629947,4,Moderately stable,0.8263274010568535,Bayesian-only shared hotspot,Bayesian-only shared hotspot
2,HF2206,20149,13408,3698,7.388336983844775,1.568646864659966,0.9999987614557564,4,Moderately stable,0.7814225932668237,Bayesian-only shared hotspot,Bayesian-only shared hotspot
3,HF2067,42088,17764,2371,6.152704192686721,1.567877310338201,0.9999564954049402,4,Moderately stable,0.777922823187798,Bayesian-only shared hotspot,Bayesian-only shared hotspot
4,HF1752,8639,16907,2472,7.5973755005662325,1.5061049504699477,0.9999997725106138,4,Moderately stable,0.7550322303744241,Bayesian-only shared hotspot,Bayesian-only shared hotspot
5,HF1375,16880,22896,957,7.308026094592312,1.6089992084441056,0.9999972134510006,4,Moderately stable,0.7502673434764816,Bayesian-only shared hotspot,Bayesian-only shared hotspot
6,HF1125,37541,22309,679,5.436510276721391,1.5096113224573293,0.9998416636482483,4,Moderately stable,0.7427955272229696,Bayesian-only shared hotspot,Bayesian-only shared hotspot
7,HF1408,14010,4879,4387,7.326053067107388,1.5298601297996868,0.9999991607063753,4,Moderately stable,0.7418999778746715,Bayesian-only shared hotspot,Bayesian-only shared hotspot
8,HF0494,29288,9391,2603,6.972955260936298,1.5317085746387864,0.9999973481737132,4,Moderately stable,0.7247571459995431,Bayesian-only shared hotspot,Bayesian-only shared hotspot
9,HF2566,18722,14128,1777,7.490893501689143,1.5967972431419701,0.9999986419563034,4,Moderately stable,0.7227155081030275,Bayesian-only shared hotspot,Bayesian-only shared hotspot
10,HF1831,8783,16436,1408,8.188799753017545,1.602772955641762,0.9999998381902071,4,Moderately stable,0.7216196993506231,Bayesian-only shared hotspot,Bayesian-only shared hotspot
11,HF1166,82312,11399,1041,4.801438158913242,1.5019549570856283,0.9993051754397111,4,Moderately stable,0.7200888747283235,Bayesian-only shared hotspot,Bayesian-only shared hotspot
12,HF2124,29361,15823,629,6.464767807427959,1.5709527154694418,0.9999806569107538,4,Moderately stable,0.6986416553411431,Bayesian-only shared hotspot,Bayesian-only shared hotspot
13,HF2305,2347,19599,197,8.41515836374616,1.6095826181029476,0.9999999143981736,4,Moderately stable,0.6983810973981603,Bayesian-only shared hotspot,Bayesian-only shared hotspot
14,HF2490,17047,13471,1315,7.0142582387381,1.5601975979176708,0.9999965337412622,4,Moderately stable,0.6982288069546845,Bayesian-only shared hotspot,Bayesian-only shared hotspot
15,HF2222,47543,7492,1818,5.890097864550432,1.555614350108412,0.9999235613458372,4,Moderately stable,0.6956843720874184,Bayesian-only shared hotspot,Bayesian-only shared hotspot
