priority_rank,catchment_id,catchment_population,malaria_cases,scd_cases,cases_cluster_005,cases_cluster_010,shared_mean_step5,exceed_prob_step5,stability_score,stability_class,prioritisation_score
122,HF2205,28991,180,0,Low-High,Low-High,0.0330092575062011,0.5077515502057828,0,Unstable / weak evidence,0.33567155315056246
140,HF1419,24695,0,0,Low-High,Low-High,-1.8875559878568773,0.17465432754111532,0,Unstable / weak evidence,0.19977984393350337
143,HF1600,44898,0,0,Low-High,Low-High,-2.396214177957635,0.11477432459394454,0,Unstable / weak evidence,0.19393674296973712
145,HF1688,8949,0,0,Not significant,Low-High,-1.928217591222596,0.19126056250276424,0,Unstable / weak evidence,0.19059822303306856
150,HF1734,26861,0,0,Not significant,Low-High,-2.2148209284588423,0.13416002275416894,0,Unstable / weak evidence,0.1852223269953316
151,HF1751,10610,0,0,Low-High,Low-High,-2.2030083993535663,0.17696398946230185,0,Unstable / weak evidence,0.18512439199901465
180,HF0039,30712,0,0,Low-High,Low-High,-3.210342736514154,0.09084372243707528,0,Unstable / weak evidence,0.16633687641052702
216,HF2494,17538,0,0,Low-High,Low-High,-3.7075683604855403,0.11107344293949906,0,Unstable / weak evidence,0.15746730835296163
243,HF2448,30891,0,0,Not significant,Low-High,-4.457202244206024,0.07048070809952134,0,Unstable / weak evidence,0.1502104676725577
244,HF1927,16106,0,0,Low-High,Low-High,-4.1593818193852305,0.1032540626602727,0,Unstable / weak evidence,0.15007256943128885
254,HF1868,20616,0,0,Low-High,Low-High,-5.6966919192044,0.11326939425841809,0,Unstable / weak evidence,0.14648519105462207
280,HF2027,8475,0,0,Low-High,Low-High,-17.66035959236458,2.7519653222896068e-11,0,Unstable / weak evidence,0.007558351142758485
