catchment_id,facility_name,facility_class,ownership_class,region,tpopn,log_tpopn,z_log_tpopn,catchment_population,malaria_cases,scd_cases,expected_malaria_cases,expected_scd_cases,shared_mean,shared_sd,malaria_spatial_mean,malaria_spatial_sd,scd_spatial_mean,scd_spatial_sd,exceed_prob_rr_gt1,hotspot_080,hotspot_090,robust_hotspot_005_adj,robust_hotspot_010_adj,hotspot_class_005_adj,hotspot_class_010_adj,rr_malaria_adj,rr_scd_adj
HF0002,Buikwe St. Charles Lwanga HOSPITAL,General hospital,PNFP,CENTRAL II,3523,8.167068178341237,-0.5195872254325732,20563,2943,720,1858.2974547847923,193.00952376605005,6.240170521435839,1.5230291619330707,0.0037165469696157066,0.17131312834815318,-2.3620894249395366e-4,0.1641839577028788,0.999979092035941,1,1,0,0,Not hotspot,Not hotspot,8.524842680559893e-4,0.019329433209628377
HF0007,Kawolo HOSPITAL,General hospital,Government,CENTRAL II,10673,9.275472466913964,0.9301864031742362,9446,2628,711,853.6438145162257,88.66254736634289,6.90714422599927,1.5290134417114059,0.005489550867521835,0.18226860795808417,-0.0016510457115071911,0.17566576155751626,0.9999968696172667,1,1,0,0,Not hotspot,Not hotspot,0.003607554266883206,0.09042905891047706
HF0008,Lugazi Scoul HOSPITAL,General hospital,PFP,CENTRAL II,3657,8.204398418149381,-0.4707599177602932,20547,8130,26,1856.8515198883008,192.85934371546128,4.31078801057761,1.5071014643034955,0.00848103999207952,0.16864108510131395,-0.0060469663361808305,0.16679680534373176,0.9978839116622791,1,1,0,0,Not hotspot,Not hotspot,0.002357862535240604,7.481607222029868e-4
HF0019,Nkokonjeru  HOSPITAL,General hospital,PNFP,CENTRAL II,4226,8.349011198176003,-0.28160890399790195,17421,623,15,1574.3519894862552,163.51791633168108,3.5075588294742603,1.4976735687804101,0.006774640753373703,0.17222313050936464,-0.004686114084034353,0.17111871007022286,0.990409768323873,1,1,0,0,Not hotspot,Not hotspot,2.514625750735658e-4,6.061170344771572e-4
HF0022,St. Francis Nyenga HOSPITAL,General hospital,PNFP,CENTRAL II,7822,8.96469555531546,0.5236955807726429,26312,3772,199,2377.839937280429,246.97109319322612,4.440115550349678,1.4598367909919503,0.0013603656244896062,0.1449054923539321,0.0010763283726597714,0.14097501670575605,0.9988230459590901,1,1,0,0,Not hotspot,Not hotspot,6.672191004805263e-4,0.0032849355844051797
HF0039,Butenga HC IV,HC IV,Government,CENTRAL I,3099,8.038834757787749,-0.687314320447594,30712,0,0,2775.4720338156176,288.27060710513683,-3.210342736514154,2.4037115064048087,-0.011150614226545213,0.15993772989321528,0.010097782239980247,0.15793266541567066,0.09084372243707528,0,0,0,0,Not hotspot,Not hotspot,4.6080562602910217e-7,5.836478105467298e-6
HF0052,Gombe HOSPITAL,General hospital,Government,CENTRAL I,7570,8.931948346431495,0.4808627982402106,36720,2092,100,3318.420587448212,344.6632161012186,4.1550841374647405,1.5396828524663229,0.017496136636915297,0.19902239885853087,-0.015479334659348469,0.19361605784684108,0.9965190613844463,1,1,0,0,Not hotspot,Not hotspot,1.9000809523014829e-4,8.460684341404489e-4
HF0083,Maddu HC IV,HC IV,Government,CENTRAL I,8586,9.057888248784506,0.6455900111381527,8716,0,0,787.6730348637966,81.81058255823042,-5.3485536334421555,5.568175743268945,0.03369170916536604,0.3027090949447349,-0.036429253280927436,0.2937974860784838,0.1683873233906379,0,0,0,0,Not hotspot,Not hotspot,0.016116861038901226,0.058432509259033295
HF0092,Bukulula HC IV,HC IV,Government,CENTRAL I,8760,9.077951183930438,0.6718319831215658,16039,0,0,1449.4593628017938,150.5461144620764,-4.657185254791476,3.673249420017572,-0.016255652848612336,0.23823789756357094,0.014687224295664419,0.23527133787250024,0.10242303973509614,0,0,0,0,Not hotspot,Not hotspot,1.7577376658077e-5,2.2457286724027252e-4
HF0093,Villa Maria HOSPITAL,General hospital,PNFP,CENTRAL I,5316,8.578476419833136,0.018527635052577773,10903,2290,369,985.3142610279916,102.33831822308241,6.176240398405231,1.541439083169429,-0.013621434368247365,0.18774323067515572,0.0173196644817,0.18527469804075214,0.9999692267243,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.002359462518920061,0.03525790823918261
HF0103,St. Joseph of the Good Shephard Kyamulibwa Ngo HC IV,HC IV,PNFP,CENTRAL I,2301,7.741099090035366,-1.0767474215761277,17771,0,0,1605.981815347009,166.80310493831033,-3.351785361464025,2.6783340248394905,-0.019426201079637762,0.23138065548678016,0.018722255901206793,0.22736229142111192,0.10538624484967007,0,0,0,0,Not hotspot,Not hotspot,2.7697972932713656e-6,2.964699518262321e-5
HF0118,Kololo HOSPITAL,General hospital,PFP,GREATER KAMPALA,1132,7.0317412587631285,-2.004575189500476,35945,2628,711,3248.3831158994,337.3888699008252,4.86315923745896,1.4371675212976238,0.0045269964527512,0.14652009277003386,-0.0015928782759849535,0.14038737756514544,0.9996426147213245,1,1,0,0,Not hotspot,Not hotspot,2.4912307513868024e-4,0.006241988284656736
HF0202,International Hospital Kampala (IHK),General hospital,PFP,GREATER KAMPALA,19235,9.864486815186396,1.700606977869052,21561,23,9,1948.4876439534555,202.37700442152433,1.8529157417899742,1.396556030856418,0.0035844082030830103,0.14252706271108412,-0.002113594386629117,0.13822869270183366,0.9077084521518622,1,1,0,0,Not hotspot,Not hotspot,6.338442107351349e-6,2.3728203556247916e-4
HF0203,Kibuli HOSPITAL,General hospital,PNFP,GREATER KAMPALA,26190,10.173132937501757,2.10431076476143,7544,1382,17,681.7583036957873,70.8098938526033,4.310532330587694,1.4203603058756173,0.00549808138091634,0.14559962867215287,-0.0028636988953508963,0.14172949948414243,0.9987965880486076,1,1,0,0,Not hotspot,Not hotspot,0.0029731344884666245,0.0035665452304758055
HF0204,St. Francis Nsambya HOSPITAL,General hospital,PNFP,GREATER KAMPALA,30768,10.334230467828561,2.3150235466491935,25095,11550,601,2267.858514216037,235.5480230953181,5.700223377037303,1.4427695372492737,0.0050528797859438436,0.1492702538205263,-0.0017000392342025922,0.1429200726290912,0.9999610694058968,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.002245739087951601,0.010832862390972975
HF0216,Kiruddu,Hospital,Government,GREATER KAMPALA,33130,10.408194495293941,2.4117672146324134,37804,3525,2191,3416.3826766855173,354.8379145286075,5.6782047367307555,1.4824474585482035,0.004429051282072777,0.1530622342801194,-0.0010819837657085444,0.14594251736589436,0.9999360040233733,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,3.021009884661885e-4,0.01739764756924973
HF0252,Kadic HOSPITAL,General hospital,PFP,GREATER KAMPALA,23045,10.045204105154609,1.9369820658494281,28974,3771,273,2618.407355684218,271.95729910993214,4.7425406838483,1.434951714380615,0.004003215777424988,0.14482611214779914,-0.001116704761195318,0.1380891508423521,0.9995251478349017,1,1,0,0,Not hotspot,Not hotspot,5.500794687073797e-4,0.003692450164731474
HF0253,Murchison Bay  HOSPITAL,General hospital,Government,GREATER KAMPALA,29406,10.288954014137602,2.2558027287267772,5788,74,0,523.0669488058346,54.3276333004862,1.6179465511054243,1.7016623155978168,0.007957696786211945,0.17279884286202946,-0.006768923851748588,0.1712280512842353,0.8291479420191904,1,0,0,0,Not hotspot,Not hotspot,2.7056535702876735e-4,4.81136067487614e-4
HF0262,Benedict Medical centre  HC IV,HC IV,PNFP,GREATER KAMPALA,13803,9.532641238823578,1.2665587065472705,13670,151,2,1235.3706271900069,128.31008072177718,1.8896262373919868,1.4857821227948287,0.005316852919673126,0.15047957744415594,-0.0038980362812658102,0.1486029857439886,0.8982789261129791,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,9.866545386995928e-5,1.0701853470151005e-4
HF0263,Butabika NATIONAL REFERAL HOSPITAL,Hospital,Government,GREATER KAMPALA,19550,9.880730565413511,1.7218535220693385,10779,299,373,974.1082655801818,101.17442283101947,5.19113079920057,1.499444626941341,0.001879759455119213,0.15724493800929773,0.001292968359500237,0.1517410866347831,0.9997319469614824,1,1,0,0,Not hotspot,Not hotspot,3.164337159749729e-4,0.036398245204959566
HF0264,Naguru  Hospital  - China Uganda Friendship,Hospital,Government,GREATER KAMPALA,4914,8.499843553081124,-0.08432279392367135,8264,0,0,746.825374037909,77.56799612909778,-0.9349431766727291,1.9391086684749703,0.003091767059892089,0.14881465853052905,-0.002979204509774843,0.1466016136775847,0.3148493425669505,0,0,0,0,Not hotspot,Not hotspot,2.3276233374928375e-6,1.54766138451012e-4
