catchment_id,facility_name,facility_class,ownership_class,region,catchment_population,malaria_cases,scd_cases,shared_mean,shared_sd,exceed_prob_rr_gt1,rr_malaria_adj,rr_scd_adj,hotspot_080,hotspot_090,robust_hotspot_005_adj,robust_hotspot_010_adj,hotspot_class_005_adj,hotspot_class_010_adj
HF3141,Mbarara Community HOSPITAL,General hospital,PFP,ANKOLE,439,1447,424,9.544625710804423,1.5743394621523548,0.999999999330401,0.9198371384241185,24.967013438114687,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF2305,Matany HOSPITAL,General hospital,PNFP,Other,2347,19599,197,8.41515836374616,1.6095826181029476,0.9999999143981736,0.43566069453593276,0.40806599691362005,1,1,0,0,Not hotspot,Not hotspot
HF1831,Kalongo Ambrosoli Memorial HOSPITAL,General hospital,PNFP,ACHOLI,8783,16436,1408,8.188799753017545,1.602772955641762,0.9999998381902071,0.026089515598372696,0.20723041774205112,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF1752,Tororo General HOSPITAL,General hospital,Government,BUKEDI,8639,16907,2472,7.5973755005662325,1.5061049504699477,0.9999997725106138,0.027739346109246363,0.3758981202143592,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF1769,Abim HOSPITAL,General hospital,Government,Other,3752,3938,556,7.900338303926177,1.6004303895299254,0.9999996020774703,0.03425829949596133,0.44853049295369923,1,1,0,0,Not hotspot,Not hotspot
HF1408,Atutur HOSPITAL,General hospital,Government,TESO,14010,4879,4387,7.326053067107388,1.5298601297996868,0.9999991607063753,0.0030443809648940607,0.25366994907242174,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF3222,Itojo HOSPITAL,General hospital,Government,ANKOLE,11456,15823,629,7.596654448157485,1.5910372843105771,0.9999990999229582,0.01476295362845079,0.05445761796648106,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF2353,Anaka HOSPITAL,General hospital,Government,ACHOLI,10906,11399,1041,7.629697449008132,1.5979798499024014,0.9999990996280486,0.011735403240459142,0.09937871001872549,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF1276,Lwala HOSPITAL,General hospital,PNFP,TESO,20124,6090,864,7.053694220028163,1.4925480276588774,0.9999988547403779,0.0018415473508494337,0.02423060051795812,1,1,0,0,Not hotspot,Not hotspot
HF2206,Lira REGIONAL REF HOSPITAL,Hospital,Government,LANGO,20149,13408,3698,7.388336983844775,1.568646864659966,0.9999987614557564,0.004044155311261551,0.10338763104408237,1,1,0,0,Not hotspot,Not hotspot
HF2566,Hoima REGIONAL REF HOSPITAL,Hospital,Government,BUNYORO,18722,14128,1777,7.490893501689143,1.5967972431419701,0.9999986419563034,0.00493557863358221,0.05755442796731805,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF2806,Fort Portal Regional Referral Hospital,Hospital,Government,TORO,16826,9429,1200,7.112381782519801,1.5529131569203911,0.9999976754032476,0.004078269976911174,0.04812099342077775,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF0494,Masaka REGIONAL REF HOSPITAL,Hospital,Government,CENTRAL I,29288,9391,2603,6.972955260936298,1.5317085746387864,0.9999973481737132,0.0013406472799603426,0.03444580926838499,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF1375,Katakwi General Hospital,General hospital,Government,TESO,16880,22896,957,7.308026094592312,1.6089992084441056,0.9999972134510006,0.009839268706877295,0.03815042413426357,1,1,0,0,Not hotspot,Not hotspot
HF0007,Kawolo HOSPITAL,General hospital,Government,CENTRAL II,9446,2628,711,6.90714422599927,1.5290134417114059,0.9999968696172667,0.003607554266883206,0.09042905891047706,1,1,0,0,Not hotspot,Not hotspot
HF2029,St. Mary's Hospital Lacor,General hospital,PNFP,ACHOLI,28907,14835,4585,7.165915778515545,1.5910885688757104,0.9999966622629947,0.0021739456282238016,0.062278095464363734,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF2490,Bundibugyo Hospital,General hospital,Government,TORO,17047,13471,1315,7.0142582387381,1.5601975979176708,0.9999965337412622,0.005676273984863808,0.05137481773508059,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF2099,Kaabong HOSPITAL,General hospital,Government,Other,7239,5434,387,7.137646084770914,1.5944285551710653,0.9999962082453885,0.012698231482232019,0.08393180931468092,1,1,0,0,Not hotspot,Not hotspot
HF2330,Angal St. Luke HOSPITAL,General hospital,PNFP,WEST NILE,22447,11399,1041,6.888322265216722,1.5922491924850062,0.9999924133845135,0.0027702148363688748,0.023459928201742784,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF1609,Kanginima HOSPITAL,General hospital,Government,BUKEDI,12997,11399,1041,6.634903553848207,1.540300934894615,0.9999917458825301,0.008263045213232985,0.06995878565540435,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF3034,Kisoro HOSPITAL,General hospital,Government,KIGEZI,23176,2628,711,6.388949554160315,1.497640966828605,0.9999900499536192,5.992734082216412e-4,0.015026382583694797,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF2124,Kitgum HOSPITAL,General hospital,Government,ACHOLI,29361,15823,629,6.464767807427959,1.5709527154694418,0.9999806569107538,0.002247489872080114,0.008290148288116571,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF0002,Buikwe St. Charles Lwanga HOSPITAL,General hospital,PNFP,CENTRAL II,20563,2943,720,6.240170521435839,1.5230291619330707,0.999979092035941,8.524842680559893e-4,0.019329433209628377,1,1,0,0,Not hotspot,Not hotspot
HF0715,Kiwoko HOSPITAL,General hospital,PNFP,CENTRAL II,11149,2628,711,6.333203879762849,1.5543742846018347,0.9999769373424955,0.0025896686577774036,0.06493110979266181,1,1,0,0,Not hotspot,Not hotspot
HF0506,St. Joseph Kitovu HOSPITAL,General hospital,PNFP,CENTRAL I,17879,4672,434,6.274105659814789,1.5411205904207206,0.999976607406385,0.0017898145068149915,0.015428325886431537,1,1,1,1,Robust hotspot,Robust hotspot
HF0093,Villa Maria HOSPITAL,General hospital,PNFP,CENTRAL I,10903,2290,369,6.176240398405231,1.541439083169429,0.9999692267243,0.002359462518920061,0.03525790823918261,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF2594,Ibanda HOSPITAL,General hospital,PNFP,ANKOLE,9482,4306,137,6.320291632291987,1.5904976306705263,0.9999646299155117,0.00586470961060077,0.017383296298801563,1,1,0,0,Not hotspot,Not hotspot
HF0204,St. Francis Nsambya HOSPITAL,General hospital,PNFP,GREATER KAMPALA,25095,11550,601,5.700223377037303,1.4427695372492737,0.9999610694058968,0.002245739087951601,0.010832862390972975,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF0304,Kayunga Hospital,General hospital,Government,CENTRAL II,45037,11399,1041,5.840457136305266,1.4795889182490138,0.9999604897051464,6.881715858731498e-4,0.005832551003875186,1,1,0,0,Not hotspot,Not hotspot
HF3109,Masindi HOSPITAL,General hospital,Government,BUNYORO,26630,4401,661,5.985483293863428,1.5187124250722666,0.9999594551461451,7.600105177068346e-4,0.010584125231416951,1,1,0,0,Not hotspot,Not hotspot
HF2278,Moyo HOSPITAL,General hospital,Government,WEST NILE,12616,1861,724,6.201171683066506,1.5741021983877561,0.9999591737743883,0.0014323845709649356,0.05163757974356328,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF2067,Gulu Regional Referal Hospital,Hospital,Government,ACHOLI,42088,17764,2371,6.152704192686721,1.567877310338201,0.9999564954049402,0.0012279520892502513,0.01519251998499664,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF3019,Kiryandongo HOSPITAL,General hospital,Government,BUNYORO,45503,11157,727,6.048352834416236,1.547025034452012,0.9999537882926807,6.598235112653797e-4,0.003988341516898505,1,1,0,0,Not hotspot,Not hotspot
HF1431,Kumi NGO HOSPITAL,General hospital,PNFP,TESO,3748,1817,92,6.113565030927438,1.568642532800983,0.9999513765442425,0.015840987885909378,0.07487902112165695,1,1,0,0,Not hotspot,Not hotspot
HF0975,Kapelebyong HC IV,HC IV,Government,TESO,8327,7821,192,6.142325029211957,1.5828785493166833,0.9999478742639618,0.013811128596527828,0.031456383653771014,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF2801,Virika HOSPITAL,General hospital,PNFP,TORO,15455,16513,179,5.773919540087328,1.4907650109248278,0.99994627570423,0.008465023838134068,0.0085509320060545,1,1,0,0,Not hotspot,Not hotspot
HF0216,Kiruddu,Hospital,Government,GREATER KAMPALA,37804,3525,2191,5.6782047367307555,1.4824474585482035,0.9999360040233733,3.021009884661885e-4,0.01739764756924973,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
HF3149,Ruharo Mission HOSPITAL,General hospital,PNFP,ANKOLE,5362,189,295,5.726714439678644,1.4961344997868744,0.9999353199132589,8.10508981675134e-4,0.1162595987693038,1,1,0,0,Not hotspot,Not hotspot
HF2836,Kambuga HOSPITAL,General hospital,Government,KIGEZI,13918,6342,142,6.123446020715148,1.601029248915087,0.9999345325388269,0.004008940403463016,0.0083634601730245,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only
