residual_priority_rank,catchment_id,facility_name,facility_class,ownership_class,region,catchment_population,malaria_cases,scd_cases,shared_mean_adj,shared_sd_adj,shared_q025_adj,shared_q975_adj,shared_ci_width_adj,exceed_prob_rr_gt1_adj,hotspot_080_adj,hotspot_090_adj,robust_hotspot_005_adj,robust_hotspot_010_adj,hotspot_class_005_adj,hotspot_class_010_adj,stability_score,stability_class,uncertainty_class,residual_hotspot_confidence,residual_typology,residual_priority_score,rr_malaria_adj,rr_scd_adj
1,HF2029,St. Mary's Hospital Lacor,General hospital,PNFP,ACHOLI,28907,14835,4585,3.8067514508757503,1.2493614564708508,1.3298769945674613,6.250679270803632,4.92080227623617,0.9988441486255177,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.8315285954339802,0.0021739456282238016,0.062278095464363734
2,HF1752,Tororo General HOSPITAL,General hospital,Government,BUKEDI,8639,16907,2472,7.485274921416237,1.959724432556007,3.6715446419807156,11.375640542740978,7.7040959007602625,0.9999331536299403,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.7941808469109378,0.027739346109246363,0.3758981202143592
3,HF1125,Busolwe HOSPITAL,General hospital,Government,BUKEDI,37541,22309,679,5.21706717285453,1.875041158914323,1.5936775712267317,8.962582773136655,7.368905201909923,0.9973018655007522,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.7528857604264695,0.0019382709218158302,0.0054738962374328215
4,HF2067,Gulu Regional Referal Hospital,Hospital,Government,ACHOLI,42088,17764,2371,2.308778950370397,1.440200539536823,-0.5179628238912355,5.146175596480372,5.664138420371607,0.9455432102022622,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.7465720468993788,0.0012279520892502513,0.01519251998499664
5,HF1831,Kalongo Ambrosoli Memorial HOSPITAL,General hospital,PNFP,ACHOLI,8783,16436,1408,4.051837675926051,1.2188878166083346,1.674850865367735,6.475427777277057,4.800576911909322,0.9995566511856527,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.7408536710369034,0.026089515598372696,0.20723041774205112
6,HF2222,PAG Mission HC IV,HC IV,PNFP,LANGO,47543,7492,1818,8.670235330015055,1.353281764015436,6.045213480083745,11.36420061225926,5.318987132175516,0.9999999999257079,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.7315714227276235,4.0589033826332843e-4,0.009128090772323173
7,HF1408,Atutur HOSPITAL,General hospital,Government,TESO,14010,4879,4387,1.646222678871193,1.29828618221151,-0.955758703748623,4.155946836176773,5.111705539925397,0.8976004470568042,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.7107545060148235,0.0030443809648940607,0.25366994907242174
8,HF1609,Kanginima HOSPITAL,General hospital,Government,BUKEDI,12997,11399,1041,6.430905127958599,1.9236677904479487,2.7105599256748394,10.270827557532993,7.560267631858153,0.9995856754741117,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.7031050231027568,0.008263045213232985,0.06995878565540435
9,HF2490,Bundibugyo Hospital,General hospital,Government,TORO,17047,13471,1315,2.6185501084631153,1.218298741740484,0.237996351721669,5.032280481394862,4.794284129673192,0.9841966576164854,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.7019552878567668,0.005676273984863808,0.05137481773508059
10,HF2124,Kitgum HOSPITAL,General hospital,Government,ACHOLI,29361,15823,629,2.47645112531943,1.1343510982783407,0.28807505101429154,4.759536547747063,4.471461496732771,0.985487374702521,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.6956115850215578,0.002247489872080114,0.008290148288116571
11,HF2353,Anaka HOSPITAL,General hospital,Government,ACHOLI,10906,11399,1041,3.8126835294619466,1.1387629081307467,1.5985665821800756,6.086215122550967,4.487648540370891,0.9995931507324565,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.6952933654530945,0.011735403240459142,0.09937871001872549
12,HF0975,Kapelebyong HC IV,HC IV,Government,TESO,8327,7821,192,9.102390189815297,1.241564827772888,6.7078135182622125,11.579163200271324,4.871349682009112,0.9999999999998861,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.6860640862159874,0.013811128596527828,0.031456383653771014
13,HF1166,Iganga HOSPITAL,General hospital,Government,BUSOGA,82312,11399,1041,4.120397461542139,1.813786104690612,0.6088339690700182,7.739496391670501,7.1306624226004836,0.9884480079187818,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.6826201096480695,2.0601676742771198e-4,0.0017445042772078314
14,HF0494,Masaka REGIONAL REF HOSPITAL,Hospital,Government,CENTRAL I,29288,9391,2603,1.8903409431777163,1.532070013975975,-1.1384395648135082,4.887553189297588,6.025992754111096,0.8913701548664343,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.6779853356355006,0.0013406472799603426,0.03444580926838499
15,HF1032,Bugiri HOSPITAL,General hospital,Government,BUSOGA,51046,11617,551,4.069873866875452,1.7939292147257992,0.6006939318637432,7.651738686282188,7.051044754418445,0.988356485890629,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.6679223680739781,5.459154102006311e-4,0.0024027015439160473
16,HF3222,Itojo HOSPITAL,General hospital,Government,ANKOLE,11456,15823,629,1.6894512885869077,1.3034936205345455,-0.8397411226320721,4.294307852356557,5.1340489749886284,0.902528584902883,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.6612520057028609,0.01476295362845079,0.05445761796648106
17,HF2330,Angal St. Luke HOSPITAL,General hospital,PNFP,WEST NILE,22447,11399,1041,1.1026999159860147,0.8072684268233168,-0.43663547633253263,2.846239268097023,3.282874744429556,0.9140249280751442,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.6530782036222067,0.0027702148363688748,0.023459928201742784
