residual_priority_rank,catchment_id,facility_name,facility_class,ownership_class,region,catchment_population,malaria_cases,scd_cases,shared_mean_adj,shared_sd_adj,shared_ci_width_adj,exceed_prob_rr_gt1_adj,stability_score,stability_class,rr_malaria_adj,rr_scd_adj,residual_hotspot_confidence
1,HF2029,St. Mary's Hospital Lacor,General hospital,PNFP,ACHOLI,28907,14835,4585,3.8067514508757503,1.2493614564708508,4.92080227623617,0.9988441486255177,4,Moderately stable,0.0021739456282238016,0.062278095464363734,High-confidence residual hotspot
2,HF1752,Tororo General HOSPITAL,General hospital,Government,BUKEDI,8639,16907,2472,7.485274921416237,1.959724432556007,7.7040959007602625,0.9999331536299403,4,Moderately stable,0.027739346109246363,0.3758981202143592,High-confidence residual hotspot
3,HF1125,Busolwe HOSPITAL,General hospital,Government,BUKEDI,37541,22309,679,5.21706717285453,1.875041158914323,7.368905201909923,0.9973018655007522,4,Moderately stable,0.0019382709218158302,0.0054738962374328215,High-confidence residual hotspot
4,HF2067,Gulu Regional Referal Hospital,Hospital,Government,ACHOLI,42088,17764,2371,2.308778950370397,1.440200539536823,5.664138420371607,0.9455432102022622,4,Moderately stable,0.0012279520892502513,0.01519251998499664,High-confidence residual hotspot
5,HF1831,Kalongo Ambrosoli Memorial HOSPITAL,General hospital,PNFP,ACHOLI,8783,16436,1408,4.051837675926051,1.2188878166083346,4.800576911909322,0.9995566511856527,4,Moderately stable,0.026089515598372696,0.20723041774205112,High-confidence residual hotspot
6,HF2222,PAG Mission HC IV,HC IV,PNFP,LANGO,47543,7492,1818,8.670235330015055,1.353281764015436,5.318987132175516,0.9999999999257079,4,Moderately stable,4.0589033826332843e-4,0.009128090772323173,High-confidence residual hotspot
8,HF1609,Kanginima HOSPITAL,General hospital,Government,BUKEDI,12997,11399,1041,6.430905127958599,1.9236677904479487,7.560267631858153,0.9995856754741117,4,Moderately stable,0.008263045213232985,0.06995878565540435,High-confidence residual hotspot
9,HF2490,Bundibugyo Hospital,General hospital,Government,TORO,17047,13471,1315,2.6185501084631153,1.218298741740484,4.794284129673192,0.9841966576164854,4,Moderately stable,0.005676273984863808,0.05137481773508059,High-confidence residual hotspot
10,HF2124,Kitgum HOSPITAL,General hospital,Government,ACHOLI,29361,15823,629,2.47645112531943,1.1343510982783407,4.471461496732771,0.985487374702521,4,Moderately stable,0.002247489872080114,0.008290148288116571,High-confidence residual hotspot
11,HF2353,Anaka HOSPITAL,General hospital,Government,ACHOLI,10906,11399,1041,3.8126835294619466,1.1387629081307467,4.487648540370891,0.9995931507324565,4,Moderately stable,0.011735403240459142,0.09937871001872549,High-confidence residual hotspot
12,HF0975,Kapelebyong HC IV,HC IV,Government,TESO,8327,7821,192,9.102390189815297,1.241564827772888,4.871349682009112,0.9999999999998861,4,Moderately stable,0.013811128596527828,0.031456383653771014,High-confidence residual hotspot
13,HF1166,Iganga HOSPITAL,General hospital,Government,BUSOGA,82312,11399,1041,4.120397461542139,1.813786104690612,7.1306624226004836,0.9884480079187818,4,Moderately stable,2.0601676742771198e-4,0.0017445042772078314,High-confidence residual hotspot
15,HF1032,Bugiri HOSPITAL,General hospital,Government,BUSOGA,51046,11617,551,4.069873866875452,1.7939292147257992,7.051044754418445,0.988356485890629,4,Moderately stable,5.459154102006311e-4,0.0024027015439160473,High-confidence residual hotspot
16,HF3222,Itojo HOSPITAL,General hospital,Government,ANKOLE,11456,15823,629,1.6894512885869077,1.3034936205345455,5.1340489749886284,0.902528584902883,4,Moderately stable,0.01476295362845079,0.05445761796648106,High-confidence residual hotspot
17,HF2330,Angal St. Luke HOSPITAL,General hospital,PNFP,WEST NILE,22447,11399,1041,1.1026999159860147,0.8072684268233168,3.282874744429556,0.9140249280751442,4,Moderately stable,0.0027702148363688748,0.023459928201742784,High-confidence residual hotspot
19,HF0499,Kyannamukaaka HC IV,HC IV,Government,CENTRAL I,13401,2649,0,6.350264645277763,1.409226548809079,5.5297070150246554,0.9999967001437008,7,Highly stable,0.0018053777962830594,1.0596558838342548e-4,High-confidence residual hotspot
20,HF0298,Kangulumira HC IV,HC IV,Government,CENTRAL II,25610,4109,71,3.788254212101411,0.9191135526077059,3.6466590696308936,0.9999811906764359,7,Highly stable,7.67098964669633e-4,0.0012331302181801784,High-confidence residual hotspot
22,HF1697,Princes Diana HC IV,HC IV,Government,TESO,13885,2897,67,7.5379466345958255,1.2026116682597896,4.723623286293,0.9999999998171198,4,Moderately stable,0.0018399136123926326,0.003952331268496194,High-confidence residual hotspot
26,HF3034,Kisoro HOSPITAL,General hospital,Government,KIGEZI,23176,2628,711,5.898601082017465,2.26208273790461,8.895592567398943,0.9954409938008928,4,Moderately stable,5.992734082216412e-4,0.015026382583694797,High-confidence residual hotspot
28,HF1113,Dabani HOSPITAL,General hospital,PNFP,BUKEDI,54227,3938,556,4.253877884845772,1.8900896187673952,7.432539642548223,0.9877952657758736,4,Moderately stable,1.6400628152093567e-4,0.0021473376434756075,High-confidence residual hotspot
35,HF3141,Mbarara Community HOSPITAL,General hospital,PFP,ANKOLE,439,1447,424,3.5732118794859327,1.5528075078304642,6.1117004701922575,0.989307856853726,4,Moderately stable,0.9198371384241185,24.967013438114687,High-confidence residual hotspot
