residual_priority_rank,catchment_id,facility_name,facility_class,ownership_class,region,catchment_population,malaria_cases,scd_cases,shared_mean_adj,shared_sd_adj,shared_ci_width_adj,exceed_prob_rr_gt1_adj,stability_score,stability_class,rr_malaria_adj,rr_scd_adj,residual_hotspot_confidence
7,HF1408,Atutur HOSPITAL,General hospital,Government,TESO,14010,4879,4387,1.646222678871193,1.29828618221151,5.111705539925397,0.8976004470568042,4,Moderately stable,0.0030443809648940607,0.25366994907242174,Moderate-confidence residual hotspot
14,HF0494,Masaka REGIONAL REF HOSPITAL,Hospital,Government,CENTRAL I,29288,9391,2603,1.8903409431777163,1.532070013975975,6.025992754111096,0.8913701548664343,4,Moderately stable,0.0013406472799603426,0.03444580926838499,Moderate-confidence residual hotspot
18,HF2566,Hoima REGIONAL REF HOSPITAL,Hospital,Government,BUNYORO,18722,14128,1777,1.62155219134108,1.8234018158152223,7.168318051991765,0.8130792051712733,4,Moderately stable,0.00493557863358221,0.05755442796731805,Moderate-confidence residual hotspot
21,HF0752,Nakasongola HC IV,HC IV,Government,CENTRAL II,7103,5466,304,5.949154475360893,0.6307982760721309,2.489766480247428,1,2,Borderline stable,0.013265924366000584,0.06815363176561262,Moderate-confidence residual hotspot
23,HF0506,St. Joseph Kitovu HOSPITAL,General hospital,PNFP,CENTRAL I,17879,4672,434,1.3157065633005907,1.13554250548283,4.477048396179133,0.8767023988537119,10,Highly stable,0.0017898145068149915,0.015428325886431537,Moderate-confidence residual hotspot
24,HF2806,Fort Portal Regional Referral Hospital,Hospital,Government,TORO,16826,9429,1200,1.717771201187458,1.4333459120914918,5.638588998995976,0.8846260472261107,4,Moderately stable,0.004078269976911174,0.04812099342077775,Moderate-confidence residual hotspot
27,HF2836,Kambuga HOSPITAL,General hospital,Government,KIGEZI,13918,6342,142,5.252538117240014,2.3296789187670166,9.156772014179307,0.9879213699006114,4,Moderately stable,0.004008940403463016,0.0083634601730245,Moderate-confidence residual hotspot
29,HF2601,Ishongororo HC IV,HC IV,Government,ANKOLE,29704,4936,1,5.449593212688635,1.4804683111909156,5.8136981849668254,0.9998838362225952,3,Borderline stable,6.848518446771806e-4,3.4631548422993495e-5,Moderate-confidence residual hotspot
31,HF0204,St. Francis Nsambya HOSPITAL,General hospital,PNFP,GREATER KAMPALA,25095,11550,601,2.0251632948145217,1.8849399769297983,7.405578915582708,0.8586763516308513,4,Moderately stable,0.002245739087951601,0.010832862390972975,Moderate-confidence residual hotspot
33,HF0680,St. Francis HOSPITAL Naggalama,General hospital,PNFP,GREATER KAMPALA,49954,2040,2021,2.168551533539502,1.835512385159403,7.207384457691427,0.8812864211499367,4,Moderately stable,1.0015501014785374e-4,0.009188394331766443,Moderate-confidence residual hotspot
34,HF0216,Kiruddu,Hospital,Government,GREATER KAMPALA,37804,3525,2191,2.125813460460403,2.1504849476588803,8.448234759625656,0.83855280786388,4,Moderately stable,3.021009884661885e-4,0.01739764756924973,Moderate-confidence residual hotspot
39,HF3236,Rwashamaire HC IV,HC IV,Government,ANKOLE,24292,957,2,5.255489355897095,1.3489806417015058,5.294470542575208,0.9999510819768402,3,Borderline stable,1.984404930225194e-4,5.368104360827181e-5,Moderate-confidence residual hotspot
42,HF0262,Benedict Medical centre  HC IV,HC IV,PNFP,GREATER KAMPALA,13670,151,2,6.2449973599503075,2.025763450552879,7.9587384463399395,0.9989746408243438,3,Borderline stable,9.866545386995928e-5,1.0701853470151005e-4,Moderate-confidence residual hotspot
52,HF1234,Buwenge NGO Hospital,General hospital,PNFP,BUSOGA,43021,2139,78,2.125281533956765,1.8144296574728298,7.13424845294999,0.879265331764094,4,Moderately stable,1.4152980711519043e-4,4.8287314077619803e-4,Moderate-confidence residual hotspot
55,HF3331,St. Karolii Lwanga Nyakibale HOSPITAL,General hospital,PNFP,KIGEZI,5154,828,4,2.794685326839694,2.3001787698310494,9.041621149145042,0.8878143113411414,4,Moderately stable,0.003815863803884069,0.002200404574534287,Moderate-confidence residual hotspot
57,HF1250,Kakira Worker's HOSPITAL,General hospital,PFP,BUSOGA,38980,3224,54,1.7411016591917907,1.9262454086852174,7.574113594296421,0.816971440306267,4,Moderately stable,2.5981360047961207e-4,4.1069424110278647e-4,Moderate-confidence residual hotspot
73,HF2708,Rugarama HOSPITAL,General hospital,PNFP,KIGEZI,10418,0,19,2.29568023918797,2.2889272781745094,9.008655610340572,0.8420575727655796,2,Borderline stable,2.1366507002999993e-6,0.0018940546178171592,Moderate-confidence residual hotspot
