ID,area_index,catchment_population,malaria_cases,scd_cases,crude_malaria_rate,crude_scd_rate,crude_joint_burden,local_cocluster,shared_mean,p_shared_rr_gt_1
HF0002,1,117227.1796875,2943,720,251.05099413338644,61.419203457709216,312.47019759109565,Low-High,NA,NA
HF0007,2,41557.79296875,2628,711,632.3723692391854,171.08704510238235,803.4594143415678,High-High,NA,NA
HF0008,3,77886.296875,8130,26,1043.8293160923886,3.3381995348588074,1047.1675156272474,High-Low,NA,NA
HF0019,4,120831.078125,623,15,51.55958298704454,1.2414024796238654,52.80098546666841,Low-Low,NA,NA
HF0022,5,126011.5859375,3772,199,299.337554712696,15.792198671215935,315.1297533839119,High-Low,NA,NA
HF0039,6,126212.2421875,0,0,0,0,0,Low-Low,NA,NA
HF0052,7,143578.984375,2092,100,145.70377476247558,6.964807589028469,152.66858235150406,Low-Low,NA,NA
HF0083,8,44005.60546875,0,0,0,0,0,Low-Low,NA,NA
HF0092,9,62109.75390625,0,0,0,0,0,Low-Low,NA,NA
HF0093,10,54372.57421875,2290,369,421.1682144727864,67.86509656788567,489.03331104067206,High-High,NA,NA
HF0103,11,82203.125,0,0,0,0,0,Low-Low,NA,NA
HF0118,12,243966.53125,2628,711,107.71969362088473,29.143341767294157,136.86303538817887,Low-High,NA,NA
HF0202,13,183487.5625,23,9,1.2534909552793259,0.49049646076147535,1.743987416040801,Low-Low,NA,NA
HF0203,14,71045.6328125,1382,17,194.52286443099237,2.392828288948531,196.9156927199409,Low-Low,NA,NA
HF0204,15,181514.9375,11550,601,636.3112677710064,33.11022267795454,669.421490448961,High-High,NA,NA
HF0216,16,238924.125,3525,2191,147.53637791914065,91.70275291371267,239.23913083285333,Low-High,NA,NA
HF0252,17,239468.53125,3771,273,157.47371816730097,11.40024530884995,168.87396347615092,Low-Low,NA,NA
HF0253,18,40079.046875,74,0,18.46351292504383,0,18.46351292504383,Low-Low,NA,NA
HF0262,19,99317.7578125,151,2,15.203726234443376,0.20137385740984606,15.405100091853223,Low-Low,NA,NA
HF0263,20,66129.0546875,299,373,45.214618810590416,56.40485891755928,101.61947772814969,Low-High,NA,NA
HF0264,21,68613.75,0,0,0,0,0,Low-Low,NA,NA
HF0281,22,594380.3125,1030,383,17.328972348827588,6.443685834564045,23.772658183391634,Low-Low,NA,NA
HF0282,23,291689.25,1861,724,63.80077428290552,24.82093529329586,88.62170957620138,Low-Low,NA,NA
HF0283,24,503660.6875,0,0,0,0,0,Low-Low,NA,NA
HF0290,25,29345.763671875,0,0,0,0,0,Low-Low,NA,NA
HF0298,26,109538.390625,4109,71,375.11962486896357,6.481745769213048,381.6013706381766,High-Low,NA,NA
HF0304,27,213825.65625,11399,1041,533.0978611225471,48.68452262729814,581.7823837498453,High-High,NA,NA
HF0316,28,86710.6953125,0,0,0,0,0,Low-Low,NA,NA
HF0327,29,123577.6953125,3771,65,305.1521547204773,5.25984886153037,310.4120035820077,High-Low,NA,NA
HF0354,30,120013.828125,0,0,0,0,0,Low-Low,NA,NA
HF0362,31,170628.140625,6308,148,369.6928289140466,8.67383301827503,378.3666619323216,High-Low,NA,NA
HF0376,32,68177.609375,0,0,0,0,0,Low-Low,NA,NA
HF0401,33,138001.546875,0,0,0,0,0,Low-Low,NA,NA
HF0402,34,69531.046875,0,0,0,0,0,Low-Low,NA,NA
HF0411,35,166414.453125,0,0,0,0,0,Low-Low,NA,NA
HF0429,36,118581.1875,0,0,0,0,0,Low-Low,NA,NA
HF0438,37,175941.6875,0,0,0,0,0,Low-Low,NA,NA
HF0446,38,142999.234375,0,0,0,0,0,Low-Low,NA,NA
HF0465,39,130641.546875,7898,65,604.5549971600487,4.975446292150313,609.530443452199,High-Low,NA,NA
HF0494,40,159155.671875,9391,2603,590.0512303058631,163.55056463488035,753.6017949407435,High-High,NA,NA
HF0499,41,73642.234375,2649,0,359.7120623079954,0,359.7120623079954,High-Low,NA,NA
HF0505,42,53832.6953125,0,0,0,0,0,Low-Low,NA,NA
HF0506,43,86572.0546875,4672,434,539.6660639353616,50.131650630981795,589.7977145663434,High-High,NA,NA
HF0537,44,61345.37890625,0,0,0,0,0,Low-Low,NA,NA
HF0540,45,79994.9765625,0,0,0,0,0,Low-Low,NA,NA
HF0550,46,129409.4375,2697,226,208.4082932514099,17.4639504170629,225.8722436684728,Low-Low,NA,NA
HF0560,47,53235.14453125,2444,0,459.0952126682642,0,459.0952126682642,High-Low,NA,NA
HF0583,48,267403.875,0,0,0,0,0,Low-Low,NA,NA
HF0588,49,123985.734375,1071,157,86.38090546455257,12.662747112917602,99.04365257747017,Low-Low,NA,NA
HF0608,50,193413.28125,0,0,0,0,0,Low-Low,NA,NA
HF0615,51,183109.875,0,0,0,0,0,Low-Low,NA,NA
HF0650,52,250907.09375,285,0,11.35878606461281,0,11.35878606461281,Low-Low,NA,NA
HF0678,53,261527.296875,0,0,0,0,0,Low-Low,NA,NA
HF0680,54,249722.484375,2040,2021,81.6906817624239,80.92983717738173,162.62051893980563,Low-High,NA,NA
HF0698,55,79842.5,0,0,0,0,0,Low-Low,NA,NA
HF0715,56,51687.2890625,2628,711,508.4422200634737,137.557997893885,646.0002179573587,High-High,NA,NA
HF0718,57,70751.140625,9051,173,1279.2726619027565,24.4519026084606,1303.724564511217,High-Low,NA,NA
HF0720,58,4217.2529296875,0,0,0,0,0,Low-Low,NA,NA
HF0724,59,115959.8515625,0,0,0,0,0,Low-Low,NA,NA
HF0732,60,23060.3359375,0,0,0,0,0,Low-Low,NA,NA
HF0741,61,7978.31640625,1539,13,1928.9783979918227,16.294164505453992,1945.2725624972768,High-Low,NA,NA
HF0752,62,39471.28515625,5466,304,1384.8041629155055,77.01801418337243,1461.822177098878,High-High,NA,NA
HF0773,63,257871.25,0,0,0,0,0,Low-Low,NA,NA
HF0777,64,176754.15625,444,149,25.11963562384406,8.429787630524247,33.54942325436831,Low-Low,NA,NA
HF0854,65,96346.6796875,1587,86,164.71766387253066,8.92609898742132,173.64376285995198,Low-Low,NA,NA
HF0859,66,30912.18359375,0,0,0,0,0,Low-Low,NA,NA
HF0860,67,113368.3828125,0,0,0,0,0,Low-Low,NA,NA
HF0873,68,171754.375,0,0,0,0,0,Low-Low,NA,NA
HF0883,69,242339.34375,2279,9,94.04168405898805,0.3713800599082459,94.4130641188963,Low-Low,NA,NA
HF0887,70,538746.375,444,149,8.241354756215298,2.7656798618830614,11.00703461809836,Low-Low,NA,NA
HF0889,71,426954.0625,0,2,0,0.04684344700432497,0.04684344700432497,Low-Low,NA,NA
HF0919,72,173430.921875,0,0,0,0,0,Low-Low,NA,NA
HF0921,73,271031.8125,511,14,18.85387531768065,0.5165445292515246,19.370419846932176,Low-Low,NA,NA
HF0926,74,386003.25,0,0,0,0,0,Low-Low,NA,NA
HF0940,75,492592.46875,11,31,0.2233083268185878,0.6293234664887474,0.8526317933073352,Low-Low,NA,NA
HF0948,76,65353.375,0,0,0,0,0,Low-Low,NA,NA
HF0957,77,166302.125,0,0,0,0,0,Low-Low,NA,NA
HF0966,78,240176.53125,0,0,0,0,0,Low-Low,NA,NA
HF0975,79,62410.5078125,7821,192,1253.1543603997975,30.76405027448678,1283.9184106742844,High-High,NA,NA
HF0998,80,230903,0,0,0,0,0,Low-Low,NA,NA
HF1015,81,388001.875,1665,206,42.912163762095226,5.3092526936886575,48.22141645578388,Low-Low,NA,NA
HF1032,82,292996.34375,11617,551,396.4895893005491,18.805695420900623,415.2952847214497,High-Low,NA,NA
HF1063,83,232164.859375,0,0,0,0,0,Low-Low,NA,NA
HF1065,84,180776.0625,0,0,0,0,0,Low-Low,NA,NA
HF1092,85,278504.0625,0,0,0,0,0,Low-Low,NA,NA
HF1113,86,297299.03125,3938,556,132.4592274466081,18.701709106225014,151.16093655283314,Low-Low,NA,NA
HF1125,87,195700.75,22309,679,1139.9547523450983,34.695830240814104,1174.6505825859124,High-High,NA,NA
HF1130,88,182641.109375,1852,11,101.40104855569295,0.6022740464970964,102.00332260219005,Low-Low,NA,NA
HF1147,89,111893.90625,0,0,0,0,0,Low-Low,NA,NA
HF1165,90,136565.984375,0,0,0,0,0,Low-Low,NA,NA
HF1166,91,449865.96875,11399,1041,253.38658160058924,23.140225585245492,276.52680718583474,Low-Low,NA,NA
HF1180,92,129866.640625,0,0,0,0,0,Low-Low,NA,NA
HF1207,93,128508.7890625,0,0,0,0,0,Low-Low,NA,NA
HF1209,94,88179.0546875,0,0,0,0,0,Low-Low,NA,NA
HF1234,95,195010.96875,2139,78,109.68613784705379,3.999775012655538,113.68591285970932,Low-Low,NA,NA
HF1246,96,31391.5859375,0,0,0,0,0,Low-Low,NA,NA
HF1249,97,145831.3125,0,0,0,0,0,Low-Low,NA,NA
HF1250,98,206567.8125,3224,54,156.074654660924,2.614153645065104,158.6888083059891,Low-Low,NA,NA
HF1269,99,91502.3125,0,0,0,0,0,Low-Low,NA,NA
HF1276,100,119680.9765625,6090,864,508.8527997446336,72.191924298746045,581.0447240433797,High-High,NA,NA
HF1281,101,245575.390625,0,0,0,0,0,Low-Low,NA,NA
HF1312,102,196516.375,1382,17,70.3249283933718,0.8650678601210713,71.18999625349288,Low-Low,NA,NA
HF1313,103,160863.703125,2093,190,130.11014662354398,11.811241212839635,141.92138783638362,Low-Low,NA,NA
HF1322,104,176006.5,0,0,0,0,0,Low-Low,NA,NA
HF1340,105,177898.46875,0,0,0,0,0,Low-Low,NA,NA
